datum,containerNummer,container_afvaltype,lediging_24h_later,telling_sinds_lediging,telling
2019-04-09,001,Rest,0,10,10
2019-04-10,001,Rest,0,6,6
2019-04-11,001,Rest,0,12,6
2019-04-12,001,Rest,0,20,8
2019-04-13,001,Rest,0,25,5
2019-04-14,001,Rest,0,31,6
2019-04-15,001,Rest,1,47,16
2019-04-16,001,Rest,0,54,11
2019-04-16,001,Rest,0,14,11
2019-04-09,002,Rest,0,5,5
2019-04-10,002,Rest,0,14,9
2019-04-11,002,Rest,0,24,10
2019-04-12,002,Rest,1,33,9
2019-04-13,002,Rest,0,38,5
2019-04-14,002,Rest,0,41,3
2019-04-15,002,Rest,0,48,7
2019-04-16,002,Rest,0,54,6
2019-04-09,003,PMD,0,7,7
2019-04-10,003,PMD,0,12,5
2019-04-11,003,PMD,0,17,5
2019-04-12,003,PMD,0,21,4
2019-04-13,003,PMD,0,26,5
2019-04-14,003,PMD,0,29,3
2019-04-15,003,PMD,0,31,2
2019-04-16,003,PMD,0,39,8
2019-04-09,004,Papier,0,10,10
2019-04-10,004,Papier,0,13,3
2019-04-11,004,Papier,1,20,7
2019-04-12,004,Papier,0,28,8
2019-04-13,004,Papier,0,34,6
2019-04-14,004,Papier,0,42,8
2019-04-15,004,Papier,0,50,8
2019-04-16,004,Papier,0,58,8
2019-04-09,005,GFT,0,6,6
2019-04-10,005,GFT,0,10,4
2019-04-11,005,GFT,0,22,12
2019-04-12,005,GFT,0,28,6
2019-04-13,005,GFT,0,31,3
2019-04-14,005,GFT,0,37,6
2019-04-15,005,GFT,0,46,9
2019-04-16,005,GFT,0,61,15
2019-04-09,007,Rest,0,2,2
2019-04-10,007,Rest,0,4,2
2019-04-14,007,Rest,0,5,1
2019-04-15,007,Rest,1,10,5
2019-04-16,007,Rest,0,18,8
2019-04-09,008,Rest,0,1,1
2019-04-10,008,Rest,0,8,7
2019-04-11,008,Rest,0,15,7
2019-04-12,008,Rest,0,24,9
2019-04-13,008,Rest,0,30,6
2019-04-14,008,Rest,0,38,8
2019-04-15,008,Rest,0,47,9
2019-04-16,008,Rest,0,54,7
2019-04-09,009,PMD,0,3,3
2019-04-10,009,PMD,0,7,4
2019-04-11,009,PMD,0,10,3
2019-04-12,009,PMD,0,11,1
2019-04-13,009,PMD,0,14,3
2019-04-14,009,PMD,0,19,5
2019-04-15,009,PMD,0,23,4
2019-04-16,009,PMD,0,24,1
2019-04-09,010,Papier,0,3,3
2019-04-10,010,Papier,0,4,1
2019-04-11,010,Papier,0,8,4
2019-04-12,010,Papier,0,9,1
2019-04-13,010,Papier,0,14,5
2019-04-14,010,Papier,0,21,7
2019-04-15,010,Papier,0,24,3
2019-04-16,010,Papier,0,33,9
2019-04-09,011,GFT,0,7,7
2019-04-10,011,GFT,0,13,6
2019-04-11,011,GFT,0,19,6
2019-04-12,011,GFT,0,22,3
2019-04-13,011,GFT,0,25,3
2019-04-14,011,GFT,1,28,3
2019-04-15,011,GFT,0,38,10
2019-04-16,011,GFT,0,45,7
2019-04-09,012,Rest,0,8,8
2019-04-10,012,Rest,0,17,9
2019-04-11,012,Rest,0,30,13
2019-04-12,012,Rest,0,42,12
2019-04-13,012,Rest,0,56,14
2019-04-14,012,Rest,0,60,4
2019-04-15,012,Rest,0,71,11
2019-04-16,012,Rest,0,89,18
2019-04-09,013,Rest,0,15,15
2019-04-10,013,Rest,0,30,15
2019-04-11,013,Rest,0,47,17
2019-04-12,013,Rest,0,57,10
2019-04-13,013,Rest,0,68,11
2019-04-14,013,Rest,0,74,6
2019-04-15,013,Rest,0,91,17
2019-04-16,013,Rest,0,108,17
2019-04-09,014,PMD,1,9,9
2019-04-10,014,PMD,0,23,14
2019-04-11,014,PMD,0,28,5
2019-04-12,014,PMD,0,33,5
2019-04-13,014,PMD,0,40,7
2019-04-14,014,PMD,0,46,6
2019-04-15,014,PMD,0,55,9
